scrape_date,scrape_timestamp,scrape_id,retailer,product_id,product_name,category,selling_price,reference_price,reference_label,promotion_name,page_url
01/01/2024,01/01/2024 18:18,SCR-F731267B731B,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
02/01/2024,02/01/2024 15:10,SCR-0A6A04C92C6F,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,308.99,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
03/01/2024,03/01/2024 06:45,SCR-C8FFBFBE7D68,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,308.99,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
04/01/2024,04/01/2024 17:25,SCR-3FDD73A42E4C,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,308.99,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
05/01/2024,05/01/2024 08:35,SCR-4E9B8042FC55,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,308.99,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
06/01/2024,06/01/2024 16:05,SCR-5EADC68C55F1,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,308.99,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
07/01/2024,07/01/2024 19:02,SCR-46E179D4727E,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,308.99,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
08/01/2024,08/01/2024 09:19,SCR-250D63D739C4,RETAILER A,RET-PROD-001,Wireless Soundbar 494,,308.99,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
09/01/2024,09/01/2024 17:06,SCR-3142A87F34D3,Retailer A,RET-PROD-001,Wireless Soundbar 494,Audio,308.99,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
10/01/2024,10/01/2024 19:10,SCR-A0B3FEB4D894,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,308.99,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
11/01/2024,11/01/2024 22:34,SCR-0918BC76F3F5,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
12/01/2024,12/01/2024 16:35,SCR-75592D8619B6,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,£199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
13/01/2024,13/01/2024 08:57,SCR-7EBA939DE1D6,Retailer A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
14/01/2024,14/01/2024 13:46,SCR-3A6758A2899C,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
15/01/2024,15/01/2024 10:29,SCR-C41DE19EA309,Retailer A,RET-PROD-001,Wireless Soundbar 494,electronics,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
16/01/2024,16/01/2024 13:56,SCR-81D62DEE7997,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
17/01/2024,17/01/2024 15:28,SCR-22D5FF3F7A9F,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,£199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
18/01/2024,18/01/2024 22:19,SCR-FDF23C0B5651,retailer a,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Previously,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
19/01/2024,19/01/2024 20:26,SCR-D6203A4435FB,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
20/01/2024,20/01/2024 12:49,SCR-DE3D8A6AF9D8,Retailer A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
21/01/2024,21/01/2024 15:08,SCR-1F6F187E0CE6,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was:,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
22/01/2024,22/01/2024 11:06,SCR-F544D23AB12E,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
23/01/2024,23/01/2024 08:16,SCR-90495A64FF49,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
24/01/2024,24/01/2024 18:43,SCR-ED19C40BFC27,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
25/01/2024,25/01/2024 11:06,SCR-E75D0EB7A98D,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
26/01/2024,26/01/2024 22:13,SCR-23337C54B5AC,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,£199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
27/01/2024,27/01/2024 08:33,SCR-D618033019FC,Retailer A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Previously,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
28/01/2024,28/01/2024 11:49,SCR-8E26F8A112AA,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
29/01/2024,29/01/2024 22:19,SCR-085A2BD86340,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
30/01/2024,,SCR-9B6E446E058D,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
31/01/2024,31/01/2024 21:15,SCR-9805F5817BCA,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
01/02/2024,01/02/2024 09:09,SCR-10DE213A9121,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
02/02/2024,02/02/2024 11:26,SCR-0A104B8D1903,Retailer A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
03/02/2024,03/02/2024 08:53,SCR-CE3B79CA9643,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,308.99,Was,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
04/02/2024,04/02/2024 20:53,SCR-3B6B0485D617,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,Clearance,https://www.retailera.co.uk/products/wireless-soundbar-494
05/02/2024,05/02/2024 07:31,SCR-0D8653DAD016,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
06/02/2024,06/02/2024 06:46,SCR-4E52D1E71FCF,retailer a,RET-PROD-001,Wireless Soundbar 494,audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
07/02/2024,07/02/2024 12:22,SCR-842961A37D93,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
08/02/2024,08/02/2024 18:44,SCR-4345845ABC0D,Retailer A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
09/02/2024,09/02/2024 06:56,SCR-79BF3CED5EEF,retailer a,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
10/02/2024,10/02/2024 06:07,SCR-B02A1C6D1DF9,retailer a,,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
11/02/2024,11/02/2024 21:09,SCR-1D053E68F4F0,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
12/02/2024,12/02/2024 12:35,SCR-4EF17976B272,retailer a,RET-PROD-001,Wireless Soundbar 494,audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
13/02/2024,13/02/2024 06:11,SCR-ADC8CC3B7103,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
14/02/2024,1707950779,SCR-CE8A7D24E4B6,retailer a,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
15/02/2024,15/02/2024 14:30,SCR-7FCB864715F5,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
16/02/2024,16/02/2024 21:00,SCR-93F57BBF5E7D,Retailer A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
17/02/2024,17/02/2024 10:07,SCR-9E556EAED4F7,retailer a,RET-PROD-001,Wireless Soundbar 494,,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
18/02/2024,18/02/2024 22:07,SCR-ED47AC111545,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
19/02/2024,19/02/2024 21:41,SCR-6E707DBEF8F0,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
20/02/2024,20/02/2024 13:11,SCR-16879848D962,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
21/02/2024,21/02/2024 06:42,SCR-CAD4036E74ED,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
22/02/2024,22/02/2024 20:07,SCR-90857194B0EF,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
23/02/2024,23/02/2024 15:55,SCR-CD66428B64C7,Retailer A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
24/02/2024,24/02/2024 22:18,SCR-CC9E7D139267,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
25/02/2024,25/02/2024 14:39,SCR-617359298CB7,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
26/02/2024,26/02/2024 14:17,SCR-1227E354EDE5,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
27/02/2024,27/02/2024 14:01,SCR-C4D45CC37BA5,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
28/02/2024,28/02/2024 08:38,SCR-3FD805AF847A,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
29/02/2024,29/02/2024 18:08,SCR-A188FC8AA1A8,Retailer A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
01/03/2024,01/03/2024 06:57,SCR-C6807CEDBA89,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
02/03/2024,02/03/2024 09:55,SCR-AA404681ED6B,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
03/03/2024,03/03/2024 13:28,SCR-203518D2117C,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
04/03/2024,04/03/2024 20:01,SCR-C704AE3AC0CE,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
05/03/2024,05/03/2024 10:49,SCR-BF61E156A258,Retailer A,RET-PROD-001,Wireless Soundbar 494,audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
06/03/2024,06/03/2024 13:13,SCR-E95AAFE5FD93,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,£199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
07/03/2024,07/03/2024 19:36,SCR-13BBC0A51778,Retailer-A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
08/03/2024,08/03/2024 18:36,SCR-8CF15C3B5FCE,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
09/03/2024,09/03/2024 08:22,SCR-19A4E65F39B8,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
10/03/2024,10/03/2024 07:39,SCR-04673C27369E,RETAILER A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
11/03/2024,11/03/2024 10:27,SCR-4C9231A10B2D,Ret. A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
12/03/2024,12/03/2024 10:14,SCR-E4F09C709C68,retailer a,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
13/03/2024,13/03/2024 20:48,SCR-EA8DFD048A87,RetailerA,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
14/03/2024,14/03/2024 20:03,SCR-7CBD26AB0F9E,Retailer A,RET-PROD-001,Wireless Soundbar 494,Audio,199.15,,,,https://www.retailera.co.uk/products/wireless-soundbar-494
